Author,Song Name,File Name,File Path
Mukul Chowdhury,শোন গো রূপসী ললনা,song4_শোন গো রূপসী ললনা.docx,Data/Mukul Chowdhury/song4_শোন গো রূপসী ললনা.docx
Mukul Chowdhury,চিঠি লিখাছি নিশি রাইতে,song2_চিঠি লিখাছি নিশি রাইতে.docx,Data/Mukul Chowdhury/song2_চিঠি লিখাছি নিশি রাইতে.docx
Mukul Chowdhury,হেরে গেছি আজ আমি নিজের কাছে,song11_হেরে গেছি আজ আমি নিজের কাছে.docx,Data/Mukul Chowdhury/song11_হেরে গেছি আজ আমি নিজের কাছে.docx
Mukul Chowdhury,আমার প্রেমের তরী বইয়া চলে,song12_আমার প্রেমের তরী বইয়া চলে.docx,Data/Mukul Chowdhury/song12_আমার প্রেমের তরী বইয়া চলে.docx
Mukul Chowdhury,পদ্মা নদীর তীরটি ঘেসে,song6_পদ্মা নদীর তীরটি ঘেসে.docx,Data/Mukul Chowdhury/song6_পদ্মা নদীর তীরটি ঘেসে.docx
Mukul Chowdhury,মন বলেছে আমি প্রেমে পড়েছি,song7_মন বলেছে আমি প্রেমে পড়েছি.docx,Data/Mukul Chowdhury/song7_মন বলেছে আমি প্রেমে পড়েছি.docx
Mukul Chowdhury,শোন ওরে ছোট্ট খোকা,song3_শোন ওরে ছোট্ট খোকা.docx,Data/Mukul Chowdhury/song3_শোন ওরে ছোট্ট খোকা.docx
Mukul Chowdhury,চিনলি নারে চিনলি না,song1_চিনলি নারে চিনলি না.docx,Data/Mukul Chowdhury/song1_চিনলি নারে চিনলি না.docx
Mukul Chowdhury,মন দেব কি দে না,song9_মন দেব কি দে না.docx,Data/Mukul Chowdhury/song9_মন দেব কি দে না.docx
Barun Bishas,ছিঃ ছিঃ ছিঃ এ কী কাণ্ড করেছি,song2_ছিঃ ছিঃ ছিঃ এ কী কাণ্ড করেছি.docx,Data/Barun Bishas/song2_ছিঃ ছিঃ ছিঃ এ কী কাণ্ড করেছি.docx
